0.000000000,1.1
1.756734694,1.2
3.484081633,1.3
5.240816327,1.4
6.995011338,2.1
8.761904762,2.2
10.507029478,2.3
12.268843537,2.4
14.036462585,3.1
15.786666667,3.2
17.536870748,3.3
19.313197279,3.4
21.019863946,4.1
22.780612245,4.2
24.502857143,4.3
26.261768707,4.4
28.012131519,5.1
29.750294785,5.2
31.504081633,5.3
33.227755102,5.4
34.966893424,6.1
36.762993197,6.2
38.546553288,6.3
40.295510204,6.4
42.032743764,7.1
43.761269841,7.2
45.535260771,7.3
47.227959184,7.4
49.036235828,8.1
50.827959184,8.2
52.481451247,8.3
54.284965986,8.4
56.025510204,9.1
57.801723356,9.2
59.477006803,9.3
61.206598639,9.4
62.940793651,10.1
64.790816327,10.2
66.469229025,10.3
68.187709751,10.4
69.924172336,11.1
71.686122449,11.2
73.417551020,11.3
75.105147392,11.4
76.896326531,12.1
78.663106576,12.2
80.383605442,12.3
82.048752834,12.4
83.882222222,13.1
85.561587302,13.2
87.384648526,13.3
89.101587302,13.4
90.841315193,14.1
92.559682540,14.2
94.302902494,14.3
96.035941043,14.4
97.810408163,15.1
99.553877551,15.2
101.289297052,15.3
102.995396825,15.4
104.728435374,16.1
106.462562358,16.2
108.181405896,16.3
109.948571429,16.4
111.673854875,17.1
113.452562358,17.2
115.131201814,17.3
116.898344671,17.4
118.645668934,18.1
120.380748299,18.2
122.144716553,18.3
123.865396825,18.4
125.569092971,19.1
127.326009070,19.2
129.050158730,19.3
130.722721088,19.4
132.455147392,20.1
134.215283447,20.2
135.955351474,20.3
137.707392290,20.4
139.418321995,21.1
141.205260771,21.2
142.835328798,21.3
144.501224490,21.4
146.273151927,22.1
147.918956916,22.2
149.724353741,22.3
151.456780045,22.4
153.170997732,23.1
154.928594104,23.2
156.619818594,23.3
158.326349206,23.4
160.041859410,24.1
161.778321995,24.2
163.529297052,24.3
165.302857143,24.4
166.975510204,25.1
168.742222222,25.2
170.637755102,25.3
172.244149660,25.4
173.876326531,26.1
175.595487528,26.2
177.340136054,26.3
179.028571429,26.4
180.728730159,27.1
182.488934240,27.2
184.211768707,27.3
185.989319728,27.4
187.689750567,28.1
189.380793651,28.2
191.084648526,28.3
192.875034014,28.4
194.521337868,29.1
196.291632653,29.2
198.003605442,29.3
199.703015873,29.4
201.457165533,30.1
203.209569161,30.2
204.910158730,30.3
206.625941043,30.4
208.365555556,31.1
210.086643991,31.2
211.840317460,31.3
213.521972789,31.4
215.290340136,32.1
217.046009070,32.2
218.782471655,32.3
220.482244898,32.4
222.200907029,33.1
223.915895692,33.2
225.628820862,33.3
227.337460317,33.4
229.076462585,34.1
230.805011338,34.2
232.561383220,34.3
234.283537415,34.4
236.049818594,35.1
237.729909297,35.2
239.507732426,35.3
241.196099773,35.4
242.977006803,36.1
244.651836735,36.2
246.447120181,36.3
248.201995465,36.4
249.989342404,37.1
251.606303855,37.2
253.329387755,37.3
255.107505669,37.4
256.849365079,38.1
258.589047619,38.2
260.336666667,38.3
262.061337868,38.4
263.787936508,39.1
265.531678005,39.2
267.199410431,39.3
268.963537415,39.4
270.663514739,40.1
272.434217687,40.2
274.201111111,40.3
275.896734694,40.4
277.607097506,41.1
279.339750567,41.2
281.080612245,41.3
282.794988662,41.4
284.598571429,42.1
286.280589569,42.2
287.982562358,42.3
289.946643991,42.4
291.832426304,43.1
293.706417234,43.2
295.550362812,43.3
297.336666667,43.4
299.154897959,44.1
300.611814059,44.2
